"filename", "language", "JSON", "YAML", "JSON with Comments", "XML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "ASP.NET Razor", "XAML", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\assets\module-help.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\assets\module.yaml", "YAML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\scripts\cleanup-legacy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 49, 35, 260
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\scripts\merge-config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 83, 61, 409
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\scripts\merge-help-csv.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 38, 37, 219
"d:\workshops\eShop\.github\skills\bmad-brainstorming\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-brainstorming\brain-methods.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-01-session-setup.md", "Markdown", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 215
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-01b-continue.md", "Markdown", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 125
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02a-user-selected.md", "Markdown", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 230
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02b-ai-recommended.md", "Markdown", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 240
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02c-random-selection.md", "Markdown", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 212
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02d-progressive-flow.md", "Markdown", 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 267
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-03-technique-execution.md", "Markdown", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 402
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-04-idea-organization.md", "Markdown", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 306
"d:\workshops\eShop\.github\skills\bmad-brainstorming\template.md", "Markdown", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\workshops\eShop\.github\skills\bmad-brainstorming\workflow.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 54
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-01-document-discovery.md", "Markdown", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 180
