Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| _bmad\bmb\bmad-module-builder\assets\setup-skill-template                                                                                   |          6 |        638 |        170 |        166 |        974 |
| _bmad\bmb\bmad-module-builder\assets\setup-skill-template (Files)                                                                           |          1 |         46 |          0 |         31 |         77 |
| _bmad\bmb\bmad-module-builder\assets\setup-skill-template\assets                                                                            |          2 |          7 |          0 |          2 |          9 |
| _bmad\bmb\bmad-module-builder\assets\setup-skill-template\scripts                                                                           |          3 |        585 |        170 |        133 |        888 |
| _bmad\bmb\bmad-module-builder\assets\standalone-module-template                                                                             |          3 |        457 |        121 |        132 |        710 |
| _bmad\bmb\bmad-module-builder\references                                                                                                    |          3 |        357 |          0 |        185 |        542 |
| _bmad\bmb\bmad-module-builder\scripts                                                                                                       |          6 |      1,034 |        147 |        235 |      1,416 |
| _bmad\bmb\bmad-module-builder\scripts (Files)                                                                                               |          3 |        444 |         77 |         89 |        610 |
| _bmad\bmb\bmad-module-builder\scripts\tests                                                                                                 |          3 |        590 |         70 |        146 |        806 |
| _bmad\bmb\bmad-workflow-builder                                                                                                             |         28 |      4,494 |        298 |      1,281 |      6,073 |
| _bmad\bmb\bmad-workflow-builder (Files)                                                                                                     |         10 |      1,317 |          0 |        607 |      1,924 |
| _bmad\bmb\bmad-workflow-builder\assets                                                                                                      |          1 |         15 |          0 |          7 |         22 |
| _bmad\bmb\bmad-workflow-builder\references                                                                                                  |          9 |        560 |          0 |        274 |        834 |
| _bmad\bmb\bmad-workflow-builder\scripts                                                                                                     |          8 |      2,602 |        298 |        393 |      3,293 |
| _bmad\bmb\bmad-workflow-builder\scripts (Files)                                                                                             |          7 |      2,419 |        274 |        356 |      3,049 |
| _bmad\bmb\bmad-workflow-builder\scripts\tests                                                                                               |          1 |        183 |         24 |         37 |        244 |
| _bmad\bmm                                                                                                                                   |        232 |     23,570 |        102 |     10,447 |     34,119 |
| _bmad\bmm (Files)                                                                                                                           |          2 |         39 |          5 |          4 |         48 |
| _bmad\bmm\1-analysis                                                                                                                        |         60 |      6,091 |          3 |      2,504 |      8,598 |
| _bmad\bmm\1-analysis\bmad-agent-analyst                                                                                                     |          2 |         48 |          0 |         21 |         69 |
| _bmad\bmm\1-analysis\bmad-agent-tech-writer                                                                                                 |          6 |        102 |          0 |         49 |        151 |
| _bmad\bmm\1-analysis\bmad-document-project                                                                                                  |         14 |      2,077 |          0 |        741 |      2,818 |
| _bmad\bmm\1-analysis\bmad-document-project (Files)                                                                                          |          5 |        325 |          0 |         98 |        423 |
| _bmad\bmm\1-analysis\bmad-document-project\templates                                                                                        |          5 |        634 |          0 |        283 |        917 |
| _bmad\bmm\1-analysis\bmad-document-project\workflows                                                                                        |          4 |      1,118 |          0 |        360 |      1,478 |
| _bmad\bmm\1-analysis\bmad-product-brief                                                                                                     |         11 |        473 |          0 |        187 |        660 |
| _bmad\bmm\1-analysis\bmad-product-brief (Files)                                                                                             |          2 |         76 |          0 |         30 |        106 |
| _bmad\bmm\1-analysis\bmad-product-brief\agents                                                                                              |          4 |        157 |          0 |         44 |        201 |
| _bmad\bmm\1-analysis\bmad-product-brief\prompts                                                                                             |          4 |        202 |          0 |         90 |        292 |
| _bmad\bmm\1-analysis\bmad-product-brief\resources                                                                                           |          1 |         38 |          0 |         23 |         61 |
| _bmad\bmm\1-analysis\research                                                                                                               |         27 |      3,391 |          3 |      1,506 |      4,900 |
| _bmad\bmm\1-analysis\research\bmad-domain-research                                                                                          |          9 |      1,091 |          1 |        489 |      1,581 |
| _bmad\bmm\1-analysis\research\bmad-domain-research (Files)                                                                                  |          3 |         58 |          1 |         28 |         87 |
| _bmad\bmm\1-analysis\research\bmad-domain-research\domain-steps                                                                             |          6 |      1,033 |          0 |        461 |      1,494 |
| _bmad\bmm\1-analysis\research\bmad-market-research                                                                                          |          9 |      1,168 |          1 |        510 |      1,679 |
| _bmad\bmm\1-analysis\research\bmad-market-research (Files)                                                                                  |          3 |         58 |          1 |         28 |         87 |
| _bmad\bmm\1-analysis\research\bmad-market-research\steps                                                                                    |          6 |      1,110 |          0 |        482 |      1,592 |
| _bmad\bmm\1-analysis\research\bmad-technical-research                                                                                       |          9 |      1,132 |          1 |        507 |      1,640 |
| _bmad\bmm\1-analysis\research\bmad-technical-research (Files)                                                                               |          3 |         58 |          1 |         29 |         88 |
| _bmad\bmm\1-analysis\research\bmad-technical-research\technical-steps                                                                       |          6 |      1,074 |          0 |        478 |      1,552 |
| _bmad\bmm\2-plan-workflows                                                                                                                  |         87 |     10,081 |          1 |      4,566 |     14,648 |
| _bmad\bmm\2-plan-workflows\bmad-agent-pm                                                                                                    |          2 |         49 |          0 |         21 |         70 |
| _bmad\bmm\2-plan-workflows\bmad-agent-ux-designer                                                                                           |          2 |         45 |          0 |         21 |         66 |
| _bmad\bmm\2-plan-workflows\bmad-create-prd                                                                                                  |         21 |      2,202 |          0 |      1,008 |      3,210 |
| _bmad\bmm\2-plan-workflows\bmad-create-prd (Files)                                                                                          |          2 |         47 |          0 |         23 |         70 |
| _bmad\bmm\2-plan-workflows\bmad-create-prd\data                                                                                             |          3 |        163 |          0 |         61 |        224 |
| _bmad\bmm\2-plan-workflows\bmad-create-prd\steps-c                                                                                          |         15 |      1,984 |          0 |        921 |      2,905 |
| _bmad\bmm\2-plan-workflows\bmad-create-prd\templates                                                                                        |          1 |          8 |          0 |          3 |         11 |
| _bmad\bmm\2-plan-workflows\bmad-create-ux-design                                                                                            |         18 |      2,197 |          1 |      1,122 |      3,320 |
