"filename", "language", "YAML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "JSON", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "XML", "ASP.NET Razor", "censitive", "Mermaid Radar", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-code-review\steps\step-02-review.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35
"d:\workshops\eShop\.github\skills\bmad-code-review\steps\step-03-triage.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50
"d:\workshops\eShop\.github\skills\bmad-code-review\steps\step-04-present.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 130
"d:\workshops\eShop\.github\skills\bmad-code-review\workflow.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 56
"d:\workshops\eShop\.github\skills\bmad-correct-course\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-correct-course\checklist.md", "Markdown", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 289
"d:\workshops\eShop\.github\skills\bmad-correct-course\workflow.md", "Markdown", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 268
"d:\workshops\eShop\.github\skills\bmad-create-architecture\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-create-architecture\architecture-decision-template.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\workshops\eShop\.github\skills\bmad-create-architecture\data\domain-complexity.csv", "CSV", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
