"filename", "language", "JSON", "YAML", "censitive", "JSON with Comments", "XML", "PowerShell", "TypeScript", "Markdown", "Mermaid Radar", "C#", "PostCSS", "ASP.NET Razor", "XAML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\workshops\eShop\src\Catalog.API\CatalogOptions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workshops\eShop\src\Catalog.API\Extensions\Extensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 10, 52
"d:\workshops\eShop\src\Catalog.API\Extensions\HostEnvironmentExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
"d:\workshops\eShop\src\Catalog.API\GlobalUsings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"d:\workshops\eShop\src\Catalog.API\Infrastructure\CatalogContext.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 5, 29
"d:\workshops\eShop\src\Catalog.API\Infrastructure\CatalogContextSeed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 13, 87
"d:\workshops\eShop\src\Catalog.API\Infrastructure\EntityConfigurations\CatalogBrandEntityTypeConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\workshops\eShop\src\Catalog.API\Infrastructure\EntityConfigurations\CatalogItemEntityTypeConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"d:\workshops\eShop\src\Catalog.API\Infrastructure\EntityConfigurations\CatalogTypeEntityTypeConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Exceptions\CatalogDomainException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231009153249_Initial.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 2, 38, 148
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231009153249_Initial.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 3, 17, 121
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231018163051_RemoveHiLoAndIndexCatalogName.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 2, 36, 141
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231018163051_RemoveHiLoAndIndexCatalogName.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 3, 16, 104
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231026091140_Outbox.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 2, 45, 173
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231026091140_Outbox.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 4, 40
"d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\CatalogContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 45, 170
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\CatalogIntegrationEventService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 9, 61
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\EventHandling\OrderStatusChangedToAwaitingValidationIntegrationEventHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\EventHandling\OrderStatusChangedToPaidIntegrationEventHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\ConfirmedOrderStockItem.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStatusChangedToAwaitingValidationIntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStatusChangedToPaidIntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStockConfirmedIntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStockItem.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStockRejectedIntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\ProductPriceChangedIntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 7
